DATE,IBOV.index,MERVAL.index,IPSA.index,MEXBOL.index,IGBvl.index,IBVCI.index,KOSPI.index,NKY.index,HSI.index,DJI.index,SPX.index,NDX.index,UKX.index,DAX.index,CAC.index
1/2/2004,22444.71,1101.51,1484.6,8818.19,2493.81,20424.05,821.26,10825.17,12801.48,10409.85,1108.48,1463.57,4510.2,4018.5,3596.8
1/5/2004,23531.74,1144.52,1484.8,9054.11,2603.04,20424.05,824.1,10825.17,13005.33,10544.07,1122.22,1496.58,4513.3,4035.9,3608.29
1/6/2004,23576.44,1158.75,1466.77,9038.46,2663.97,20424.05,823.43,10813.99,13036.32,10538.66,1123.67,1501.26,4505.2,4035.44,3595.82
1/7/2004,23320.12,1162.8,1461.6,9098.22,2772.1,21046.35,827.07,10757.82,13157.68,10529.03,1126.33,1514.26,4473,4004.4,3563.51
1/8/2004,23716.82,1157.62,1462.85,9169.81,2862.64,22215.3,824.15,10837.65,13203.59,10592.44,1131.92,1530.65,4494.2,4045.43,3592.73
1/9/2004,23916.72,1195.4,1476.4,9102.82,2915.23,22550.71,845.27,10965.05,13385.8,10458.89,1121.86,1520.46,4466.3,4016.18,3574.8
1/12/2004,24236.98,1175.33,1475.81,9129.05,2919.87,23217.72,850.79,10849.68,13352.22,10485.18,1127.23,1539.77,4449.6,3995.91,3560.1
1/13/2004,23939.63,1205.62,1467.89,9141.58,2836.92,23218.58,848.43,10863,13396.65,10427.18,1121.22,1524.78,4440.1,3996.22,3576.18
1/14/2004,23398.64,1202.25,1481.69,9171.66,2734.73,23121.73,849.62,10665.15,13320.88,10538.37,1130.52,1534.08,4461.4,4055.21,3612.55
1/15/2004,22961.7,1202.86,1475.09,9135.16,2739.8,23305.69,845.66,10857.2,13249.81,10553.85,1132.05,1532.01,4456.1,4068.75,3626.97
1/16/2004,23154.58,1208.18,1459.48,9193.81,2788.39,23973.94,847.95,11036.33,13167.76,10600.51,1139.83,1553.62,4487.9,4111.64,3671.8
1/19/2004,23385.17,1246.51,1455.98,9242.57,2822.98,24647.31,856.8,11103.1,13253.31,10528.66,1138.77,1552.87,4518.1,4139.92,3689.97
1/20/2004,23678.75,1260.03,1453.98,9322.82,2824.59,25799.88,861.37,11002.39,13570.43,10623.62,1147.62,1546.6,4499.3,4106.41,3660.19
1/21/2004,23301.82,1225.03,1446.37,9427.8,2795.19,26040.74,869.04,11000.7,13750.58,10623.18,1143.94,1530.42,4511.2,4138.04,3676.38
1/22/2004,22968.78,1210.82,1451.02,9497.01,2783.34,25076.78,863.03,11069.01,13727.27,10568.29,1141.55,1531.21,4476.8,4139.86,3695.6
1/23/2004,23471,1163.6,1453.5,9480.24,2800.64,24790.53,859.59,10972.6,13761.88,10702.51,1155.37,1553.66,4460.8,4151.83,3693.36
1/26/2004,24349.78,1198.28,1438.92,9563.91,2779.08,24886.89,853.47,10928.03,13431.78,10609.92,1144.05,1519.23,4445.5,4128.68,3675.72
1/27/2004,24226.04,1203.19,1439.96,9612.14,2767.09,25309.99,848.5,10852.47,13334.01,10468.37,1128.48,1491.57,4447,4134.42,3697.42
1/28/2004,23851.62,1181.51,1432.74,9551.13,2782.74,25541.73,854.89,10779.44,13289.37,10510.29,1134.11,1496.4,4468.1,4150.24,3706.79
1/29/2004,22386.18,1144.67,1415.25,9444.23,2720.81,24932.35,839.87,10783.61,12999.98,10488.07,1131.13,1493.08,4411.5,4095.71,3662.3
1/30/2004,21851.44,1140.81,1408.86,9428.77,2730,25068.06,835.5,10776.73,13090.01,10499.18,1135.26,1487.84,4390.7,4058.6,3638.44
2/2/2004,21786.95,1129.86,1411.33,9633.86,2699.34,25275.51,840.92,10641.92,13086.73,10505.18,1136.03,1491.85,4381.4,4071.6,3665.02
2/3/2004,22280.99,1157.08,1416.47,9702.85,2727.6,25596.99,850.23,10447.25,13030.94,10470.74,1126.52,1462.61,4390.6,4057.51,3638.21
2/4/2004,21684.53,1134.34,1412.48,9674.18,2706.84,25529.16,864.77,10464.6,13309.6,10495.55,1128.59,1465.03,4398.5,4028.37,3607.57
2/5/2004,21091.68,1083.5,1426.19,9810.77,2701.62,24771.76,866.8,10460.92,13576.68,10593.03,1142.76,1498.95,4384.4,4014.79,3610.31
2/6/2004,21968.81,1053.26,1424.71,9882.35,2716.22,25056.02,876.34,10402.61,13515.66,10579.03,1139.81,1490.91,4402.7,4044.99,3624.72
2/9/2004,21961.58,1092.96,1427.29,9804.94,2748.66,25596.05,877.95,10365.4,13524.76,10613.85,1145.54,1500.29,4434.4,4098.97,3663.73
2/10/2004,22171.49,1006.79,1428.7,9875.32,2758.47,25171.01,882.18,10459.26,13625.13,10737.7,1157.76,1514.18,4404.9,4110.8,3668.45
2/11/2004,23197.11,1029.93,1432.95,9960.05,2784.99,25065.53,881.28,10557.69,13739.8,10694.07,1152.11,1501.34,4396,4122.16,3677.85
2/12/2004,23063.45,1071.27,1435.47,9982.87,2791.23,25033.83,884.8,10548.72,13831.53,10627.85,1145.81,1484.47,4377.7,4121.65,3681.56
2/13/2004,22529.8,1089.99,1445.45,10004.69,2770.86,25053.19,877.1,10701.13,13815.44,10714.88,1156.99,1506.57,4412,4057.05,3649.34
2/16/2004,22188.88,1119.74,1461.6,10100.05,2761.99,24976.87,881.65,10676.81,13928.38,10671.99,1151.82,1507.49,4408.1,4070.46,3678.07
2/17/2004,22426.27,1109.37,1487.43,10125.04,2769.27,25175.59,877.49,10753.8,13867.22,10664.73,1147.06,1484.8,4461.5,4095.86,3703.82
2/18/2004,22000.12,1127.73,1514.61,10072.23,2738.1,24910.25,877.52,10720.69,13868.37,10619.03,1144.11,1482.1,4442.9,4095.34,3709.02
2/19/2004,20950.98,1122.78,1506.62,9888.73,2737.75,24799.08,864.59,10868.96,13765.07,10609.62,1140.99,1463.75,4515.6,4141.53,3759.32
